time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
1800,2.5499340523515954,2.5499177195493377,2.5498591296479374,2.5497251449550675,2.5494449943130357,2.5488836463338922,2.547798728228468,2.5457774232018089,2.5421526749332108,2.5359040013839871,2.5255576169851572,2.5091112462661664,2.4840177102054488,2.4472632061033401,2.3955665991156585,2.3257040513287466,2.2349312571427706,2.1214426766455694,1.9847873074762938,1.8261727669009404,1.6486169203273826
1860,2.5499045453996261,2.5498826311299663,2.5498050634943001,2.5496315196449859,2.5492777260330204,2.5485868982372102,2.5472848208919623,2.5449161181225364,2.5407625818400073,2.5337504651311988,2.522362449617634,2.5045791702154663,2.4778816576565461,2.4393456097333654,2.3858474875252416,2.3143811433532715,2.2224551430502077,2.1085147375613986,1.9723196532511547,1.8152144827482992,1.6402435656979004
1920,2.5498647850218505,2.5498359479885853,2.5497351114032742,2.549514001215837,2.5490737091399596,2.5482344875537608,2.5466894948482386,2.5439411606669022,2.5392224558152612,2.5314112985729711,2.5189544144244929,2.4998246500949688,2.4715402315854842,2.4312721539883895,2.3760541975466256,2.303089965344939,2.2101264619589092,2.0958426243634074,1.9601907037862105,1.8046251946397991,1.6321067797650322
1980,2.5498121993610496,2.5497749192259866,2.5496459981913802,2.5493684952988795,2.5488278538817188,2.5478203752386146,2.5460061490121464,2.5428462015992839,2.5375274234729828,2.5288845593177349,2.5153358346651986,2.4948550417891928,2.4650056475830686,2.4230587300567339,2.3662045301067898,2.2918487753334378,2.1979632908622433,2.083442430580881,1.948404066460435,1.794359204808178,1.6241794434538179
2040,2.5497438263164023,2.5496964058447982,2.5495340735289105,2.5491905740716705,2.5485348317167813,2.5473384528295044,2.5452283652691818,2.5416253960859541,2.5356734686729916,2.5261694927861607,2.5115104676591464,2.4896792140027708,2.4582913864833467,2.4147215844373457,2.3563144042203348,2.2806691721683188,2.1859678936017888,2.0712992264692875,1.9369184633161425,1.7843818024516298,1.616525882505659
2100,2.5496563060424178,2.5495968777585536,2.549395322132689,2.5489755069100442,2.548189130224384,2.5467826180970192,2.5443499870263517,2.5402734400034577,2.5336573316908515,2.523266118785167,2.5074825016680631,2.4843056162560897,2.4514091167969103,2.4062734059791402,2.3463945613371489,2.2695567402907439,2.1741374346844955,2.0594000720362873,1.9257201095915271,1.7746949492469559,1.6090903585385947
2160,2.5495458809897946,2.5494724177408794,2.5492253783412795,2.548718288600214,2.5477850907261841,2.5461468066239386,2.5433651159282991,2.5387854945043635,2.5314763368263771,2.5201749984896051,2.503256443267261,2.4787427151173742,2.4443704112850018,2.3977272400065361,2.3364573949511693,2.2585208984094471,2.1624764783593178,2.0477452463737214,1.9148064845722645,1.765278412223565,1.6018516029761467
2220,2.5494084003991349,2.5493187292298569,2.5490195428562856,2.5484136677825258,2.5473169471978601,2.545425036998946,2.5422681615575851,2.5371572518577348,2.5291285134297148,2.5168974829263533,2.4988375724105758,2.4729996475084604,2.4371873115231666,2.3890961482936697,2.3265142574780397,2.2475680348206741,2.1509834283281246,2.0363226822432754,1.9041525466068414,1.7561092584711684,1.5948751480036143
2280,2.5492393337321495,2.549131153155562,2.5487728088876151,2.548056185769759,2.5467788770115787,2.5446114672100641,2.5410538895923649,2.5353849487572648,2.5266125228228686,2.5134354540230208,2.4942313185501304,2.4670849521355311,2.4298700773426387,2.3803897882707288,2.3165712489631045,2.236697782652989,2.1396495519149275,2.0251160834515272,1.8937442340389685,1.7471980022593703,1.5881026520200225
2340,2.5490337909166372,2.5489046906125656,2.5484798906874686,2.5476402100536273,2.5461650312660509,2.5437004039045497,2.5397173817203127,2.5334652424985578,2.5239274251558967,2.5097909999571697,2.4894429710019148,2.4610066547870266,2.4224283377767728,2.3716177757672838,2.306636272841744,2.2259150959991389,2.1284768500779068,2.0141269489840194,1.8835833415902332,1.7385192258830331,1.5815251419622998
2400,2.5487865433702059,2.5486340253323556,2.5481352492710228,2.5471599622513557,2.5454695610224238,2.542686323219312,2.5382540556579838,2.5313952559774071,2.5210728089227565,2.5059667195475557,2.4844782331531756,2.4547730066912568,2.4148715761164228,2.3627887890318893,2.2967146984862676,2.2152196769152201,2.1174580824621203,2.0033407426452663,1.8736486779044736,1.7300707635513783,1.5751441858168258
2460,2.5484920521721737,2.5483135534075991,2.5477331259458094,2.5466095553111292,2.544686654505973,2.5415638995840855,2.5366596700123343,2.5291725303187866,2.5180486414377139,2.5019653946248446,2.4793426394174194,2.4483916668676309,2.4072084235146525,2.3539110137186858,2.2868130682811296,2.2046159958413249,2.1065961576663232,1.9927602984368142,1.8639446779449556,1.7218395442670227,1.5689490506415533
