time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
473,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999990317,2.5499999999782785,2.5499999995907219,2.5499999936120186,2.5499999179007569,2.5499991317815449,2.5499924425572535,2.5499457914891797,2.549678989167278,2.5484261968107589,2.5435864783716089,2.5281494596070857,2.4872469569432134,2.3963364256760786,2.2243585098961844,1.9414861042240157
474,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999989762,2.5499999999772371,2.5499999995735991,2.5499999933821944,2.549999915388939,2.549999109476949,2.549992281911766,2.5499448543953953,2.5496745678795665,2.5484093465065909,2.543534662640456,2.5280209884311677,2.4869901408476176,2.3959225439105332,2.2238224573037022,1.9409359762227407
475,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999989,2.5499999999989198,2.5499999999761487,2.5499999995558342,2.5499999931450819,2.549999912810851,2.5499990866919799,2.5499921185086891,2.5499439048716983,2.5496701031381228,2.5483923807056499,2.5434826219694182,2.5278922231348462,2.4867331455011636,2.3955088440333303,2.2232870115582841,1.9403866025886662
476,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999976,2.5499999999988621,2.5499999999750145,2.5499999995374063,2.5499999929004824,2.5499999101650412,2.5499990634184417,2.5499919523130474,2.5499429428093086,2.5496655947146865,2.5483752991587854,2.5434303564946186,2.5277631646841687,2.4864759723303687,2.3950953264968962,2.2227521711312663,1.9398379808796897
477,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999958,2.549999999998799,2.5499999999738292,2.5499999995182927,2.5499999926481944,2.5499999074500348,2.5499990396480561,2.5499917832897108,2.549941968099561,2.5496610423828887,2.5483581016230423,2.5433778663628592,2.5276338140539192,2.4862186227597824,2.3946819917409781,2.2222179344788806,1.9392901086406436
478,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999927,2.5499999999987342,2.5499999999725929,2.5499999994984712,2.5499999923880106,2.5499999046643285,2.5499990153724115,2.5499916114030894,2.549940980632603,2.5496564459137034,2.5483407878496482,2.5433251517083417,2.5275041721973892,2.4859610981938207,2.3942688402116437,2.2216843001046707,1.9387429834807317
479,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999914,2.5499999999986667,2.5499999999713046,2.5499999994779183,2.5499999921197181,2.5499999018064012,2.5499989905830489,2.5499914366176348,2.5499399802995626,2.5496518050829819,2.5483233576038233,2.5432722126909288,2.5273742400960191,2.4857034000466554,2.3938558723301,2.2211512664567614,1.9381966029459687
480,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999878,2.5499999999985952,2.5499999999699607,2.5499999994566114,2.5499999918430998,2.5499998988746899,2.5499989652713029,2.5499912588969407,2.5499389669886057,2.5496471196578199,2.5483058106290164,2.5432190494272811,2.5272440186704124,2.4854455296891382,2.3934430885491551,2.2206188321120215,1.9376509647474509
481,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999843,2.5499999999985206,2.5499999999685596,2.549999999434525,2.5499999915579381,2.5499998958676393,2.5499989394286433,2.5499910782056565,2.5499379405933862,2.5496423894255895,2.5482881467227632,2.5431656621364009,2.5271135089679326,2.485187488560296,2.3930304892336336,2.2200869953872839,1.9371060738601888
482,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999812,2.5499999999984415,2.5499999999670981,2.5499999994116349,2.5499999912640026,2.5499998927836129,2.5499989130460303,2.5499908945059033,2.5499369009972535,2.5496376141398627,2.5482703655956236,2.5431120508694773,2.5269827118152257,2.4849292779616894,2.3926180748829369,2.2195557550597158,1.9365619267851826
483,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999767,2.5499999999983585,2.5499999999655758,2.5499999993879143,2.549999990961064,2.5499998896210143,2.5499988861148171,2.5499907077622921,2.5499358480953127,2.5496327935957561,2.5482524670673405,2.5430582158849382,2.5268516282999287,2.4846708993418485,2.3922058458216378,2.2190251093675504,1.9360185186896213
484,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999718,2.5499999999982732,2.5499999999639882,2.5499999993633375,2.5499999906488844,2.5499998863781488,2.5499988586257323,2.5499905179362887,2.5499347817697515,2.5496279275458837,2.5482344508485162,2.5430041572318851,2.5267202592368259,2.484412353982397,2.3917938025440386,2.2184950571181234,1.9354758468190154
485,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.549999999999967,2.5499999999981831,2.5499999999623348,2.5499999993378784,2.5499999903272266,2.5499998830533741,2.5499988305699697,2.5499903249922333,2.5499337019160846,2.5496230157894413,2.5482163167712573,2.5429498751889064,2.5265886057287101,2.4841536433262856,2.3913819453501932,2.2179655965226344,1.9349339080099535
486,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999621,2.549999999998088,2.5499999999606118,2.5499999993115074,2.5499999899958379,2.5499998796449344,2.5499988019379982,2.5499901288907898,2.549932608414708,2.5496180580759615,2.5481980645406916,2.5428953697925651,2.5264566685653609,2.4838947686278643,2.3909702747382156,2.2174367264458184,1.9343927000596097
487,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999567,2.5499999999979908,2.5499999999588181,2.5499999992841964,2.5499999896544763,2.5499998761511469,2.5499987727209064,2.5499899295963342,2.5499315011628716,2.549613054213097,2.5481796940123171,2.5428406413621349,2.5263244488905636,2.4836357313393487,2.3905587909664368,2.2169084450178302,1.9338522199408814
488,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999501,2.5499999999978842,2.5499999999569489,2.5499999992559177,2.5499999893028806,2.5499998725702353,2.5499987429092044,2.5499897270703755,2.5499303800462365,2.5496080039708091,2.548161204945643,2.5427856900338672,2.5261919476106347,2.4833765327687658,2.3901474944424455,2.2163807508657127,1.9333124652965241
489,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999439,2.5499999999977758,2.5499999999550029,2.5499999992266389,2.5499999889407809,2.5499998689003234,2.5499987124928154,2.5499895212715824,2.5499292449392028,2.549602907083107,2.5481425970100355,2.5427305157743403,2.5260591654142672,2.4831171740945539,2.389736385714011,2.2158536430742952,1.9327734343714553
490,2.5499999999999994,2.5499999999999998,2.5499999999999998,2.5499999999999998,2.5499999999999372,2.5499999999976666,2.549999999952977,2.5499999991963298,2.5499999885679223,2.5499998651397022,2.5499986814628941,2.5499893121655868,2.5499280957467239,2.5495977633871174,2.5481238701383595,2.5426751190424541,2.5259261036052258,2.4828576568386072,2.3893254649104376,2.2153271194471742,1.932235123856906
